modele,kilometrage,puissance,parking,GPS,Climatisation,Boite_auto,Systeme_GetAround,Regulateur,Pneus_hiver,rental_price_per_day,catégorie,type_km,couleur,essence,type
Peugeot,186893,105,False,True,False,True,False,False,True,107,Généraliste,km élevé,Gris,diesel,Break
Peugeot,255263,105,False,True,False,False,True,False,True,83,Généraliste,km élevé,Noir,diesel,Break
Citroën,159316,135,False,True,False,False,False,False,True,108,Généraliste,km élevé,Gris,diesel,Break
Citroën,48747,135,False,False,False,False,False,False,False,133,Généraliste,km faible,Noir,diesel,Break
Peugeot,52923,105,False,True,False,True,False,False,True,175,Généraliste,km standard,Gris,diesel,Break
Audi,245352,130,True,True,False,False,True,False,True,83,Premium,km élevé,Vert,diesel,Break
Citroën,155981,120,True,True,False,False,False,False,True,106,Généraliste,km élevé,Bleu,diesel,Break
Citroën,162079,135,False,True,False,False,True,False,True,106,Généraliste,km élevé,Rouge,diesel,Break
Citroën,105097,135,True,True,False,False,True,True,True,136,Généraliste,km standard,Noir,diesel,Break
Citroën,115498,135,False,False,False,False,False,False,False,132,Généraliste,km standard,Noir,diesel,Break
Citroën,282959,135,True,True,True,False,True,True,True,112,Généraliste,km élevé,Gris,diesel,Break
Citroën,123134,135,True,True,False,False,True,True,True,129,Généraliste,km élevé,Noir,diesel,Break
Audi,186668,100,True,True,True,False,True,False,True,119,Premium,km élevé,Gris,diesel,Break
Citroën,200614,135,True,True,True,False,True,True,True,104,Généraliste,km élevé,Gris,diesel,Break
Audi,253181,145,False,True,False,False,True,False,True,83,Premium,km élevé,Noir,diesel,Break
Audi,14902,190,True,True,False,True,True,False,True,184,Premium,km faible,Blanc,diesel,Break
Peugeot,313108,90,True,False,False,False,False,False,True,60,Généraliste,km élevé,Noir,diesel,Break
Citroën,134410,120,False,True,True,False,True,True,True,117,Généraliste,km élevé,Noir,diesel,Break
Citroën,65478,120,True,True,True,False,True,True,True,121,Généraliste,km standard,Blanc,diesel,Break
Renault,289658,120,True,True,False,False,False,False,True,83,Généraliste,km élevé,Bleu,diesel,Break
Renault,163803,135,False,True,True,False,False,False,True,114,Généraliste,km élevé,Gris,diesel,Break
Citroën,111457,135,True,True,False,True,True,False,True,134,Généraliste,km standard,Noir,diesel,Break
Audi,122550,160,True,True,True,False,True,False,True,124,Premium,km élevé,Noir,diesel,Break
Peugeot,152652,105,False,False,False,False,True,False,True,110,Généraliste,km élevé,Blanc,diesel,Break
Citroën,41253,230,True,True,True,True,True,True,True,190,Généraliste,km faible,Rouge,diesel,Break
Citroën,106692,120,True,True,False,False,True,False,True,117,Généraliste,km standard,Bleu,diesel,Break
Peugeot,151683,105,False,True,False,False,False,True,True,106,Généraliste,km élevé,Blanc,diesel,Break
Renault,196079,140,True,True,True,False,True,False,True,120,Généraliste,km élevé,Noir,diesel,Break
Audi,182009,190,True,True,False,True,True,True,True,149,Premium,km élevé,Bleu,diesel,Break
Audi,76574,160,True,True,False,False,False,True,True,174,Premium,km standard,Blanc,diesel,Break
Citroën,135501,120,True,True,False,False,True,False,True,102,Généraliste,km élevé,Noir,diesel,Break
Renault,164998,140,True,True,True,True,True,False,True,159,Généraliste,km élevé,Bleu,diesel,Break
Citroën,183119,120,False,True,False,False,True,False,True,120,Généraliste,km élevé,Noir,diesel,Break
Citroën,302006,100,False,False,False,False,False,False,True,22,Généraliste,km élevé,Gris,diesel,Break
Peugeot,193485,100,True,True,True,False,False,False,True,85,Généraliste,km élevé,Gris,diesel,Break
Renault,34489,85,True,False,False,False,False,False,True,117,Généraliste,km faible,Noir,diesel,Break
Citroën,155357,137,True,True,False,False,True,True,True,106,Généraliste,km élevé,Gris,diesel,Break
Citroën,111903,135,False,False,False,False,False,False,True,121,Généraliste,km standard,Blanc,diesel,Break
Citroën,120794,135,False,True,False,True,True,True,True,128,Généraliste,km élevé,Blanc,diesel,Break
Audi,124588,160,True,True,False,False,False,False,True,144,Premium,km élevé,Noir,diesel,Break
Citroën,98138,135,False,True,False,False,True,True,True,129,Généraliste,km standard,Noir,diesel,Break
Audi,153575,160,True,True,False,True,True,True,True,151,Premium,km élevé,Noir,diesel,Break
Renault,174393,85,False,True,True,False,True,False,True,106,Généraliste,km élevé,Blanc,diesel,Break
Citroën,194678,120,False,True,True,False,True,False,True,95,Généraliste,km élevé,Noir,diesel,Break
Renault,29668,85,True,True,False,False,True,False,True,142,Généraliste,km faible,Marron,diesel,Break
Peugeot,157129,100,True,True,True,False,True,False,True,107,Généraliste,km élevé,Bleu,diesel,Break
Citroën,208638,120,False,True,False,False,True,True,True,116,Généraliste,km élevé,Rouge,diesel,Break
Renault,92840,140,True,True,False,False,True,False,True,140,Généraliste,km standard,Marron,diesel,Break
Renault,204854,135,True,True,False,False,True,True,True,124,Généraliste,km élevé,Noir,diesel,Break
Peugeot,177528,105,False,True,False,False,True,False,True,114,Généraliste,km élevé,Noir,diesel,Break
Citroën,73515,135,True,True,True,False,False,False,True,123,Généraliste,km standard,Bleu,essence,Break
Renault,188264,135,True,True,True,False,True,False,True,124,Généraliste,km élevé,Blanc,diesel,Break
Peugeot,84321,105,False,True,False,False,False,False,True,127,Généraliste,km standard,Noir,diesel,Break
Renault,484615,120,True,True,False,False,False,False,True,91,Généraliste,km élevé,Bleu,diesel,Break
Citroën,88795,135,False,False,False,False,False,False,False,115,Généraliste,km standard,Bleu,diesel,Break
Renault,137921,135,True,True,True,False,True,False,True,156,Généraliste,km élevé,Noir,diesel,Break
Renault,186211,120,True,True,False,False,False,False,True,112,Généraliste,km élevé,Bleu,diesel,Break
Renault,211276,137,False,True,False,False,False,False,True,91,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,104961,100,False,True,False,False,False,False,True,100,Généraliste,km standard,Argent,diesel,Break
Audi,124030,160,True,True,False,False,False,False,True,149,Premium,km élevé,Noir,diesel,Break
Audi,160471,160,False,True,False,False,True,False,True,125,Premium,km élevé,Noir,diesel,Break
Citroën,179358,120,False,True,False,False,False,False,True,10,Généraliste,km élevé,Noir,diesel,Break
Renault,230225,120,True,True,False,False,False,False,True,80,Généraliste,km élevé,Gris,diesel,Break
Citroën,77499,160,False,False,False,False,False,False,True,122,Généraliste,km standard,Blanc,diesel,Break
Peugeot,145471,105,False,False,False,False,False,True,True,104,Généraliste,km élevé,Noir,diesel,Break
Citroën,166866,120,True,True,False,False,True,True,True,122,Généraliste,km élevé,Bleu,diesel,Break
Audi,148836,160,False,True,False,False,True,False,True,133,Premium,km élevé,Argent,diesel,Break
Citroën,139988,122,True,True,False,False,True,True,True,121,Généraliste,km élevé,Noir,diesel,Break
Peugeot,110683,105,False,True,False,False,False,False,True,121,Généraliste,km standard,Noir,diesel,Break
Renault,133371,140,True,True,True,False,False,True,True,142,Généraliste,km élevé,Gris,diesel,Break
Renault,168103,137,True,True,False,False,True,True,True,111,Généraliste,km élevé,Marron,diesel,Break
Renault,94144,140,True,True,False,False,True,False,True,143,Généraliste,km standard,Noir,diesel,Break
Citroën,199877,135,True,True,True,False,True,True,True,102,Généraliste,km élevé,Gris,diesel,Break
Audi,137629,190,True,True,True,False,True,True,True,148,Premium,km élevé,Gris,diesel,Break
Citroën,153383,135,False,True,False,False,True,False,True,97,Généraliste,km élevé,Noir,diesel,Break
Renault,47064,140,True,True,False,False,False,True,True,151,Généraliste,km faible,Noir,diesel,Break
Renault,121365,135,True,True,False,False,True,True,True,128,Généraliste,km élevé,Gris,diesel,Break
Audi,159986,190,True,True,True,True,True,False,True,141,Premium,km élevé,Marron,diesel,Break
Citroën,331183,120,False,False,False,False,False,True,True,63,Généraliste,km élevé,Noir,diesel,Break
Renault,177268,135,True,True,False,False,True,False,True,120,Généraliste,km élevé,Bleu,diesel,Break
Citroën,114771,135,False,True,False,False,False,False,True,28,Généraliste,km standard,Bleu,diesel,Break
Renault,20597,140,True,True,False,False,True,False,True,136,Généraliste,km faible,Noir,diesel,Break
Renault,32976,140,True,True,False,False,True,False,True,170,Généraliste,km faible,Noir,diesel,Break
Audi,168639,173,True,True,False,False,True,True,True,100,Premium,km élevé,Bleu,diesel,Break
Peugeot,115171,105,False,False,False,False,False,False,False,28,Généraliste,km standard,Blanc,diesel,Break
Citroën,180953,135,True,True,False,False,True,False,True,112,Généraliste,km élevé,Bleu,diesel,Break
Renault,154062,135,False,True,False,False,True,True,True,127,Généraliste,km élevé,Noir,diesel,Break
Renault,147256,85,True,True,False,False,False,False,True,100,Généraliste,km élevé,Bleu,diesel,Break
Citroën,101747,135,False,True,True,True,False,False,True,122,Généraliste,km standard,Noir,diesel,Break
Renault,142424,85,False,True,False,False,False,False,True,104,Généraliste,km élevé,Marron,diesel,Break
Audi,269290,120,True,False,True,False,False,False,True,65,Premium,km élevé,Argent,diesel,Break
Citroën,125666,135,True,True,False,False,True,False,True,130,Généraliste,km élevé,Gris,diesel,Break
Renault,214462,135,False,True,False,False,True,False,True,113,Généraliste,km élevé,Marron,diesel,Break
Peugeot,106053,100,True,True,False,False,False,False,True,116,Généraliste,km standard,Noir,diesel,Break
Renault,70444,140,False,False,False,False,False,False,False,147,Généraliste,km standard,Marron,diesel,Break
Renault,224592,135,False,True,False,False,True,False,False,106,Généraliste,km élevé,Noir,diesel,Break
Citroën,175797,135,False,True,False,False,False,False,True,93,Généraliste,km élevé,Noir,diesel,Break
Citroën,123896,135,False,True,False,False,True,False,True,116,Généraliste,km élevé,Bleu,diesel,Break
Citroën,105421,135,True,True,False,False,True,True,True,136,Généraliste,km standard,Noir,diesel,Break
Renault,120081,120,True,True,False,False,False,False,True,122,Généraliste,km élevé,Noir,diesel,Break
Audi,130450,190,True,True,True,True,True,False,True,133,Premium,km élevé,Bleu,diesel,Break
Peugeot,178567,105,False,True,False,False,False,False,True,98,Généraliste,km élevé,Noir,diesel,Break
Audi,122554,160,True,True,True,False,True,False,True,130,Premium,km élevé,Noir,diesel,Break
Citroën,141926,135,False,True,False,False,True,True,True,120,Généraliste,km élevé,Gris,diesel,Break
Peugeot,187691,100,False,True,False,False,True,False,True,107,Généraliste,km élevé,Gris,diesel,Break
Peugeot,201543,100,True,True,False,False,False,True,True,99,Généraliste,km élevé,Gris,diesel,Break
Citroën,200285,120,False,True,False,False,False,False,True,91,Généraliste,km élevé,Bleu,diesel,Break
Citroën,147324,135,True,True,True,False,True,True,True,127,Généraliste,km élevé,Bleu,diesel,Break
BMW,156697,180,False,True,True,False,True,False,False,118,Premium,km élevé,Gris,essence,Break
Renault,140083,140,False,True,False,False,True,False,True,137,Généraliste,km élevé,Noir,diesel,Break
Peugeot,201626,105,False,True,False,False,True,False,True,108,Généraliste,km élevé,Noir,diesel,Break
Renault,78528,85,False,True,False,False,False,False,True,112,Généraliste,km standard,Gris,diesel,Break
Citroën,69975,120,False,False,False,False,False,False,False,133,Généraliste,km standard,Gris,diesel,Break
Citroën,106126,135,False,True,False,False,True,True,True,118,Généraliste,km standard,Gris,diesel,Break
Citroën,171512,120,True,True,False,False,False,True,True,108,Généraliste,km élevé,Noir,diesel,Break
PGO,132221,190,True,True,False,False,True,True,True,150,Niche,km élevé,Noir,diesel,Break
Peugeot,183315,105,False,True,False,False,True,True,True,112,Généraliste,km élevé,Argent,diesel,Break
Renault,192232,135,False,True,False,False,True,False,True,103,Généraliste,km élevé,Gris,essence,Break
Peugeot,163998,100,True,True,False,False,True,False,True,110,Généraliste,km élevé,Argent,diesel,Break
Peugeot,155712,100,True,True,False,False,False,False,True,97,Généraliste,km élevé,Bleu,diesel,Break
Audi,192730,190,False,True,False,False,False,True,True,146,Premium,km élevé,Bleu,diesel,Break
Renault,163972,85,False,True,False,False,False,False,True,101,Généraliste,km élevé,Noir,diesel,Break
Citroën,195501,135,False,False,False,False,False,False,True,100,Généraliste,km élevé,Blanc,diesel,Break
PGO,134858,190,True,True,True,False,False,False,True,130,Niche,km élevé,Blanc,diesel,Break
Citroën,107393,135,False,True,False,False,True,False,True,123,Généraliste,km standard,Blanc,diesel,Break
Peugeot,159451,105,False,True,False,False,False,False,True,113,Généraliste,km élevé,Noir,diesel,Break
Peugeot,147558,105,False,True,False,False,False,False,False,10,Généraliste,km élevé,Blanc,diesel,Break
Citroën,236009,135,False,False,False,False,False,False,True,67,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,161595,100,True,True,False,False,False,False,True,97,Généraliste,km élevé,Noir,diesel,Break
Peugeot,153062,100,True,True,False,False,False,False,True,104,Généraliste,km élevé,Gris,diesel,Break
Renault,299054,135,True,True,True,False,True,True,True,108,Généraliste,km élevé,Marron,diesel,Break
Peugeot,152233,105,False,True,False,False,True,True,True,130,Généraliste,km élevé,Bleu,diesel,Break
Audi,211430,190,True,True,True,True,True,False,True,133,Premium,km élevé,Gris,diesel,Break
Citroën,152317,135,True,True,True,False,True,False,True,113,Généraliste,km élevé,Gris,diesel,Break
Renault,84275,120,True,True,False,False,False,False,True,129,Généraliste,km standard,Bleu,diesel,Break
Renault,209731,120,True,True,False,False,False,False,True,112,Généraliste,km élevé,Gris,diesel,Break
Peugeot,82406,105,True,True,True,True,True,False,True,128,Généraliste,km standard,Noir,diesel,Break
Peugeot,195644,100,True,True,False,False,False,False,True,103,Généraliste,km élevé,Marron,diesel,Break
Peugeot,172160,100,True,True,False,False,False,False,True,97,Généraliste,km élevé,Noir,diesel,Break
Renault,157831,135,True,True,False,False,True,False,True,117,Généraliste,km élevé,Gris,diesel,Break
Peugeot,145306,100,False,True,False,False,False,False,True,103,Généraliste,km élevé,Marron,diesel,Break
Audi,200001,105,True,True,True,False,True,False,True,124,Premium,km élevé,Marron,diesel,Break
Renault,142340,140,True,True,True,False,True,True,True,142,Généraliste,km élevé,Noir,diesel,Break
Audi,177041,160,True,True,True,False,False,False,True,28,Premium,km élevé,Noir,diesel,Break
Peugeot,160333,100,False,False,False,False,False,True,True,98,Généraliste,km élevé,Blanc,diesel,Break
Renault,98536,135,True,True,False,False,True,False,True,125,Généraliste,km standard,Gris,diesel,Break
Peugeot,132747,105,False,True,False,False,True,False,True,109,Généraliste,km élevé,Noir,diesel,Break
Peugeot,190196,105,False,True,False,False,False,False,True,103,Généraliste,km élevé,Gris,diesel,Break
Renault,134724,135,False,True,False,True,True,False,True,133,Généraliste,km élevé,Gris,diesel,Break
Renault,166676,135,True,True,False,False,True,False,True,126,Généraliste,km élevé,Marron,diesel,Break
Citroën,168029,135,True,True,False,False,True,True,True,116,Généraliste,km élevé,Argent,diesel,Break
Peugeot,186700,105,False,True,False,True,False,False,True,102,Généraliste,km élevé,Gris,diesel,Break
Audi,234336,230,True,True,False,True,True,True,True,139,Premium,km élevé,Noir,diesel,Break
Peugeot,127659,105,False,False,False,True,True,False,True,112,Généraliste,km élevé,Bleu,diesel,Break
Citroën,164900,120,False,True,True,False,True,True,True,109,Généraliste,km élevé,Gris,diesel,Break
Renault,301534,135,True,True,True,False,True,False,True,96,Généraliste,km élevé,Noir,diesel,Break
Renault,129258,140,False,True,False,False,False,True,True,150,Généraliste,km élevé,Bleu,diesel,Break
Audi,70138,160,False,False,False,False,False,False,False,145,Premium,km standard,Argent,diesel,Break
Citroën,77703,135,True,True,False,False,True,True,True,146,Généraliste,km standard,Noir,diesel,Break
Citroën,262458,110,True,True,True,False,False,False,True,71,Généraliste,km élevé,Gris,diesel,Break
Citroën,163777,120,False,True,False,False,False,False,True,113,Généraliste,km élevé,Noir,diesel,Break
Citroën,25974,120,False,True,False,False,False,False,True,97,Généraliste,km faible,Noir,diesel,Break
Renault,164400,135,True,True,True,False,True,True,True,127,Généraliste,km élevé,Blanc,diesel,Break
Renault,134804,135,False,True,False,False,True,False,True,140,Généraliste,km élevé,Bleu,diesel,Break
Citroën,101580,135,False,False,False,False,False,False,False,115,Généraliste,km standard,Noir,diesel,Break
Citroën,178507,120,True,True,False,False,False,False,True,109,Généraliste,km élevé,Noir,diesel,Break
Peugeot,164950,100,True,True,False,False,False,False,True,102,Généraliste,km élevé,Blanc,diesel,Break
Citroën,248730,110,True,True,True,False,False,False,True,71,Généraliste,km élevé,Gris,diesel,Break
Renault,126444,140,True,True,True,False,True,False,True,142,Généraliste,km élevé,Noir,diesel,Break
Citroën,179056,122,True,True,False,False,True,False,True,110,Généraliste,km élevé,Blanc,diesel,Break
Audi,266607,150,True,True,True,False,True,True,True,124,Premium,km élevé,Noir,diesel,Break
Citroën,155136,120,False,False,False,False,False,False,True,103,Généraliste,km élevé,Noir,diesel,Break
BMW,175642,150,True,True,False,False,True,False,True,120,Premium,km élevé,Gris,essence,Break
Peugeot,106355,100,True,True,False,False,False,False,True,114,Généraliste,km standard,Bleu,diesel,Break
Renault,205474,135,True,True,True,False,True,False,True,121,Généraliste,km élevé,Noir,diesel,Break
Citroën,235022,110,True,False,True,False,False,False,True,66,Généraliste,km élevé,Noir,diesel,Break
Audi,148632,190,True,True,True,True,True,True,True,139,Premium,km élevé,Noir,diesel,Break
Citroën,187608,135,True,True,False,False,False,False,True,107,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,175042,105,False,True,False,False,True,False,True,110,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,161215,105,False,False,False,False,False,False,True,28,Généraliste,km élevé,Marron,diesel,Break
Audi,130121,190,True,True,True,True,True,False,True,143,Premium,km élevé,Gris,diesel,Break
Audi,314540,142,False,False,False,False,False,False,True,36,Premium,km élevé,Bleu,diesel,Break
Peugeot,121430,105,False,True,False,False,True,False,True,125,Généraliste,km élevé,Blanc,diesel,Break
Renault,210105,85,False,True,False,False,False,False,True,94,Généraliste,km élevé,Gris,diesel,Break
Audi,199520,160,False,True,False,True,True,False,True,122,Premium,km élevé,Argent,diesel,Break
Citroën,97634,120,False,True,False,False,False,False,True,123,Généraliste,km standard,Noir,diesel,Break
Renault,177557,120,True,True,False,False,False,False,True,107,Généraliste,km élevé,Gris,diesel,Break
Peugeot,154267,105,False,False,False,False,False,False,True,109,Généraliste,km élevé,Noir,diesel,Break
Renault,258239,100,True,False,False,False,False,False,True,44,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,129614,105,False,True,False,False,False,False,True,116,Généraliste,km élevé,Noir,diesel,Break
Renault,131474,85,False,True,False,False,False,False,True,103,Généraliste,km élevé,Bleu,diesel,Break
Citroën,178944,122,True,True,False,False,True,False,True,81,Généraliste,km élevé,Bleu,diesel,Break
Citroën,89989,135,False,True,False,False,False,False,False,114,Généraliste,km standard,Noir,diesel,Break
Peugeot,146248,100,True,True,True,False,False,True,True,106,Généraliste,km élevé,Blanc,diesel,Break
Renault,75269,85,False,True,False,False,False,False,True,91,Généraliste,km standard,Bleu,diesel,Break
Renault,257000,85,False,True,False,False,False,False,True,91,Généraliste,km élevé,Noir,diesel,Break
Citroën,172710,120,False,True,False,False,True,False,True,116,Généraliste,km élevé,Noir,diesel,Break
Renault,150204,85,False,True,False,False,False,False,True,75,Généraliste,km élevé,Bleu,diesel,Break
Audi,147098,105,False,True,False,False,True,False,True,98,Premium,km élevé,Noir,diesel,Break
Peugeot,127670,100,False,True,False,False,False,False,True,110,Généraliste,km élevé,Marron,diesel,Break
Citroën,123492,135,False,True,False,False,False,False,True,122,Généraliste,km élevé,Argent,diesel,Break
Renault,222723,120,True,True,False,False,False,False,True,78,Généraliste,km élevé,Noir,diesel,Break
Audi,184754,190,False,True,False,True,True,True,True,141,Premium,km élevé,Gris,diesel,Break
Renault,140289,85,False,False,False,False,False,False,True,28,Généraliste,km élevé,Bleu,diesel,Break
Audi,192114,160,True,True,True,True,True,False,True,135,Premium,km élevé,Blanc,diesel,Break
Peugeot,140525,100,True,True,False,False,False,False,True,110,Généraliste,km élevé,Bleu,diesel,Break
Renault,230451,130,True,False,False,False,True,False,True,87,Généraliste,km élevé,Gris,diesel,Break
Audi,223328,190,True,True,True,False,False,False,True,126,Premium,km élevé,Noir,diesel,Break
Renault,135740,120,True,True,False,False,False,False,True,123,Généraliste,km élevé,Marron,diesel,Break
Renault,136158,137,False,True,False,False,False,False,True,120,Généraliste,km élevé,Gris,diesel,Break
Citroën,133373,135,False,True,False,False,True,True,True,114,Généraliste,km élevé,Noir,diesel,Break
Peugeot,151280,105,False,True,False,False,True,False,True,107,Généraliste,km élevé,Bleu,diesel,Break
Audi,121332,160,True,True,False,True,True,False,True,162,Premium,km élevé,Noir,diesel,Break
Peugeot,106463,100,True,True,False,False,False,False,True,116,Généraliste,km standard,Bleu,diesel,Break
Citroën,60534,135,False,False,False,False,True,False,True,133,Généraliste,km standard,Bleu,diesel,Break
Renault,126607,135,False,True,False,False,True,True,True,140,Généraliste,km élevé,Gris,diesel,Break
Audi,156160,173,True,True,False,False,True,False,True,88,Premium,km élevé,Gris,diesel,Break
Citroën,188791,120,False,True,True,False,False,False,True,67,Généraliste,km élevé,Noir,diesel,Break
Audi,305358,120,True,True,False,False,False,False,True,66,Premium,km élevé,Bleu,diesel,Break
Peugeot,127499,100,False,True,False,False,False,False,True,103,Généraliste,km élevé,Gris,diesel,Break
Renault,123531,135,True,True,False,True,True,True,True,150,Généraliste,km élevé,Marron,diesel,Break
Renault,158300,85,True,False,False,False,False,False,True,99,Généraliste,km élevé,Blanc,diesel,Break
Citroën,184455,120,False,True,False,False,False,False,True,102,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,174259,105,True,True,False,False,False,False,True,110,Généraliste,km élevé,Bleu,diesel,Break
Renault,65811,135,True,True,False,False,True,False,True,152,Généraliste,km standard,Noir,diesel,Break
Peugeot,131597,100,False,True,False,False,True,False,True,107,Généraliste,km élevé,Noir,diesel,Break
Renault,149817,85,False,True,False,False,False,False,True,107,Généraliste,km élevé,Blanc,diesel,Break
Renault,206944,135,False,True,False,False,True,False,True,119,Généraliste,km élevé,Gris,diesel,Break
Renault,122998,135,False,True,False,False,True,False,True,133,Généraliste,km élevé,Noir,diesel,Break
Renault,185238,135,False,True,False,True,True,False,True,147,Généraliste,km élevé,Gris,diesel,Break
Citroën,163472,135,True,True,True,False,True,True,True,121,Généraliste,km élevé,Marron,diesel,Break
Renault,163376,120,True,True,False,False,True,False,True,122,Généraliste,km élevé,Blanc,diesel,Break
Renault,77008,85,True,True,False,False,True,False,True,104,Généraliste,km standard,Marron,diesel,Break
Renault,152679,120,False,False,False,False,False,False,True,117,Généraliste,km élevé,Gris,diesel,Break
Renault,289948,120,True,True,False,False,False,False,True,86,Généraliste,km élevé,Bleu,diesel,Break
Renault,157989,135,False,True,True,False,True,False,True,112,Généraliste,km élevé,Gris,diesel,Break
Audi,148328,190,True,True,False,True,True,True,True,152,Premium,km élevé,Gris,diesel,Break
Citroën,176269,135,False,True,False,False,False,False,True,61,Généraliste,km élevé,Noir,diesel,Break
Peugeot,19937,110,False,True,False,False,False,True,True,150,Généraliste,km faible,Noir,diesel,Break
Citroën,163459,135,False,False,False,False,True,False,True,117,Généraliste,km élevé,Noir,diesel,Break
Citroën,144104,120,True,True,False,False,True,True,True,128,Généraliste,km élevé,Blanc,diesel,Break
Peugeot,308735,90,True,False,False,False,False,False,True,61,Généraliste,km élevé,Bleu,diesel,Break
Renault,125207,85,False,False,False,False,False,False,True,102,Généraliste,km élevé,Gris,diesel,Break
Citroën,200906,120,True,True,False,False,True,False,True,116,Généraliste,km élevé,Noir,diesel,Break
Audi,181011,190,True,True,False,True,True,True,True,149,Premium,km élevé,Bleu,diesel,Break
Renault,137667,137,True,True,True,False,True,True,True,128,Généraliste,km élevé,Noir,diesel,Break
Audi,126368,190,False,True,False,False,True,False,True,148,Premium,km élevé,Noir,diesel,Break
Citroën,165421,135,False,False,False,False,False,False,True,96,Généraliste,km élevé,Bleu,diesel,Break
Renault,129329,135,False,True,False,False,True,False,True,137,Généraliste,km élevé,Argent,diesel,Break
Citroën,129826,120,True,True,False,False,False,False,True,118,Généraliste,km élevé,Argent,diesel,Break
Renault,143386,120,True,True,True,False,True,False,True,138,Généraliste,km élevé,Noir,diesel,Break
Renault,135200,120,True,True,False,False,False,True,True,123,Généraliste,km élevé,Noir,diesel,Break
Citroën,127944,120,False,True,False,False,True,False,True,117,Généraliste,km élevé,Marron,diesel,Break
Renault,124523,120,True,True,True,False,False,False,True,125,Généraliste,km élevé,Bleu,diesel,Break
Renault,260960,120,True,True,False,False,False,False,True,75,Généraliste,km élevé,Noir,diesel,Break
Peugeot,151089,105,False,True,False,False,False,True,True,110,Généraliste,km élevé,Argent,diesel,Break
Citroën,160017,135,False,True,True,False,True,False,False,120,Généraliste,km élevé,Blanc,essence,Break
Renault,185387,120,True,True,False,False,False,False,True,84,Généraliste,km élevé,Marron,diesel,Break
Renault,150779,135,True,True,True,True,True,False,True,142,Généraliste,km élevé,Bleu,diesel,Break
Renault,170856,120,True,True,False,False,True,False,True,119,Généraliste,km élevé,Marron,diesel,Break
Renault,210574,135,True,True,False,False,False,False,True,109,Généraliste,km élevé,Noir,diesel,Break
Citroën,106990,135,False,True,False,False,True,True,True,127,Généraliste,km standard,Blanc,diesel,Break
Audi,154035,160,True,True,False,True,True,True,True,152,Premium,km élevé,Noir,diesel,Break
Citroën,143455,135,False,True,False,True,False,False,True,121,Généraliste,km élevé,Noir,diesel,Break
Citroën,309458,135,True,True,False,False,True,False,True,98,Généraliste,km élevé,Noir,diesel,Break
Peugeot,162056,105,False,True,False,False,False,False,True,97,Généraliste,km élevé,Rouge,diesel,Break
Audi,44211,160,False,False,False,False,False,False,False,87,Premium,km faible,Noir,diesel,Break
Citroën,183892,120,True,True,False,True,False,False,True,71,Généraliste,km élevé,Gris,diesel,Break
Renault,143651,85,False,True,True,False,False,True,True,122,Généraliste,km élevé,Bleu,diesel,Break
Renault,188004,135,True,True,False,True,True,False,True,135,Généraliste,km élevé,Gris,diesel,Break
Renault,184731,135,False,True,False,False,True,True,True,118,Généraliste,km élevé,Noir,diesel,Break
Renault,74833,120,True,True,False,False,False,False,True,131,Généraliste,km standard,Noir,diesel,Break
Citroën,162609,135,True,True,False,False,True,True,True,128,Généraliste,km élevé,Gris,diesel,Break
Audi,144302,190,True,True,False,True,True,False,True,147,Premium,km élevé,Noir,diesel,Break
Peugeot,117321,100,True,False,False,False,False,True,True,89,Généraliste,km standard,Gris,diesel,Break
Renault,195902,140,True,True,True,False,True,False,True,125,Généraliste,km élevé,Noir,diesel,Break
Peugeot,153125,105,False,False,False,False,True,False,True,114,Généraliste,km élevé,Blanc,diesel,Break
Peugeot,3478,100,True,True,False,False,False,False,True,146,Généraliste,km faible,Bleu,diesel,Break
Renault,167112,135,True,True,False,True,True,False,True,137,Généraliste,km élevé,Noir,diesel,Break
Citroën,175217,135,True,True,False,False,True,True,True,112,Généraliste,km élevé,Gris,diesel,Break
Audi,268961,190,True,True,False,True,True,False,True,126,Premium,km élevé,Blanc,diesel,Break
Renault,104531,135,True,True,False,True,True,True,True,142,Généraliste,km standard,Blanc,diesel,Break
Peugeot,147933,100,False,True,False,False,False,False,True,103,Généraliste,km élevé,Gris,diesel,Break
Peugeot,157848,105,False,True,False,False,False,True,True,116,Généraliste,km élevé,Blanc,diesel,Break
Renault,81329,85,False,False,False,False,False,False,True,126,Généraliste,km standard,Gris,diesel,Break
Peugeot,105026,105,False,True,False,False,True,True,True,125,Généraliste,km standard,Gris,diesel,Break
Renault,122723,120,True,True,False,False,True,False,True,134,Généraliste,km élevé,Gris,diesel,Break
Peugeot,84120,105,True,True,False,False,False,False,True,128,Généraliste,km standard,Noir,diesel,Break
Renault,83215,135,False,True,False,False,True,True,True,164,Généraliste,km standard,Blanc,diesel,Break
Renault,161815,135,False,True,False,True,True,False,True,137,Généraliste,km élevé,Blanc,diesel,Break
Renault,208925,85,False,True,False,False,False,False,True,91,Généraliste,km élevé,Gris,diesel,Break
Audi,179584,105,True,True,False,False,True,False,True,120,Premium,km élevé,Noir,diesel,Break
Audi,160142,160,True,True,False,True,True,True,True,136,Premium,km élevé,Bleu,diesel,Break
